board_id,bucket,box_count,source_file,heuristic,rep,status,runtime_ms,pushes,expanded_nodes,total_children,effective_children,deadlocks
42,21-30,4,21_to_30.sok,hungarian,1,SOLVED,143.976,21,1489,23824,3837,1158
42,21-30,4,21_to_30.sok,neural_sequential,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
42,21-30,4,21_to_30.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
42,21-30,4,21_to_30.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
43,21-30,4,21_to_30.sok,manhattan,1,SOLVED,1001.0,21,7926,126816,23277,8139
43,21-30,4,21_to_30.sok,hungarian,1,SOLVED,62.0001,21,435,6960,2198,455
43,21-30,4,21_to_30.sok,neural_sequential,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
43,21-30,4,21_to_30.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
43,21-30,4,21_to_30.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
44,21-30,5,21_to_30.sok,manhattan,1,SOLVED,288.428,27,3825,76500,8978,5463
44,21-30,5,21_to_30.sok,hungarian,1,SOLVED,75.9412,27,999,19980,2863,1628
44,21-30,5,21_to_30.sok,neural_sequential,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
44,21-30,5,21_to_30.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
44,21-30,5,21_to_30.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
45,31-50,7,41_to_50.sok,manhattan,1,TIMEOUT,11420.8,0,149804,4194512,500003,265029
45,31-50,7,41_to_50.sok,hungarian,1,TIMEOUT,14199.1,0,172988,4843664,500001,297278
45,31-50,7,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
45,31-50,7,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
46,31-50,5,41_to_50.sok,manhattan,1,SOLVED,2985.46,41,33390,667800,77945,78081
46,31-50,5,41_to_50.sok,hungarian,1,SOLVED,136.334,41,1429,28580,5253,4308
46,31-50,5,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
46,31-50,5,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
47,31-50,2,31_to_40.sok,manhattan,1,SOLVED,54.8843,33,369,2952,615,153
47,31-50,2,31_to_40.sok,hungarian,1,SOLVED,22.4435,33,149,1192,228,41
47,31-50,2,31_to_40.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
47,31-50,2,31_to_40.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
48,31-50,7,41_to_50.sok,manhattan,1,TIMEOUT,15869.1,0,157430,4408040,500012,266941
48,31-50,7,41_to_50.sok,hungarian,1,SOLVED,3032.23,43,26482,741496,95669,41392
48,31-50,7,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
48,31-50,7,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
49,31-50,5,31_to_40.sok,manhattan,1,TIMEOUT,27397.6,0,155039,3100780,500002,162991
49,31-50,5,31_to_40.sok,hungarian,1,SOLVED,5810.35,33,29798,595960,95805,35750
49,31-50,5,31_to_40.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
49,31-50,5,31_to_40.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
50,31-50,5,41_to_50.sok,manhattan,1,TIMEOUT,30734.3,0,118818,2376360,500002,190097
50,31-50,5,41_to_50.sok,hungarian,1,SOLVED,179.517,43,777,15540,4657,1159
50,31-50,5,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
50,31-50,5,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
51,31-50,5,41_to_50.sok,manhattan,1,TIMEOUT,18877.2,0,116469,2329380,500002,224177
51,31-50,5,41_to_50.sok,hungarian,1,SOLVED,215.536,47,1266,25320,8879,3384
51,31-50,5,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
51,31-50,5,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
52,31-50,7,41_to_50.sok,manhattan,1,TIMEOUT,18142.8,0,186095,5210660,500005,360423
52,31-50,7,41_to_50.sok,hungarian,1,SOLVED,13946.3,41,138367,3874276,389444,269399
52,31-50,7,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
52,31-50,7,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
53,31-50,6,41_to_50.sok,manhattan,1,TIMEOUT,18070.4,0,106170,2548080,500008,163968
53,31-50,6,41_to_50.sok,hungarian,1,SOLVED,374.907,41,2163,51912,14507,2306
53,31-50,6,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
53,31-50,6,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
54,31-50,7,31_to_40.sok,manhattan,1,TIMEOUT,10361.1,0,141171,3952788,500002,218572
54,31-50,7,31_to_40.sok,hungarian,1,SOLVED,12913.8,38,159865,4476220,496513,250940
54,31-50,7,31_to_40.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
54,31-50,7,31_to_40.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
55,31-50,5,41_to_50.sok,manhattan,1,TIMEOUT,26684.3,0,104560,2091200,500003,159941
55,31-50,5,41_to_50.sok,hungarian,1,TIMEOUT,27056.8,0,110191,2203820,500004,144246
55,31-50,5,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
55,31-50,5,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
56,31-50,4,31_to_40.sok,manhattan,1,SOLVED,553.094,37,7909,126544,14699,6269
56,31-50,4,31_to_40.sok,hungarian,1,SOLVED,369.065,37,4925,78800,9650,3564
56,31-50,4,31_to_40.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
56,31-50,4,31_to_40.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
57,31-50,5,41_to_50.sok,manhattan,1,TIMEOUT,23658.3,0,160022,3200440,500004,204109
57,31-50,5,41_to_50.sok,hungarian,1,SOLVED,17202.8,48,117067,2341340,407329,153320
57,31-50,5,41_to_50.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
57,31-50,5,41_to_50.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
58,31-50,5,31_to_40.sok,manhattan,1,SOLVED,5170.64,36,62884,1257680,183604,74215
58,31-50,5,31_to_40.sok,hungarian,1,SOLVED,62.2307,36,753,15060,2974,894
