[2026-06-09 12:04:00] 🚀 Probando Config: 1 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 2195 --stagLimit 197 --mu 12 --lambda 22 --mutRate 0.154
[2026-06-09 12:04:00] 🚀 Probando Config: 2 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 1195 --stagLimit 97 --mu 5 --lambda 30 --mutRate 0.649
[2026-06-09 12:04:00] 🚀 Probando Config: 3 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 1695 --stagLimit 248 --mu 15 --lambda 18 --mutRate 0.8965
[2026-06-09 12:25:57] 🚀 Probando Config: 3 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 1695 --stagLimit 248 --mu 15 --lambda 18 --mutRate 0.8965
[2026-06-09 12:25:57] 🚀 Probando Config: 2 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 1195 --stagLimit 97 --mu 5 --lambda 30 --mutRate 0.649
[2026-06-09 12:25:57] 🚀 Probando Config: 1 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 2195 --stagLimit 197 --mu 12 --lambda 22 --mutRate 0.154
[2026-06-09 12:27:30] 🚀 Probando Config: 1 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 2195 --stagLimit 197 --mu 12 --lambda 22 --mutRate 0.154
[2026-06-09 12:27:30] 🚀 Probando Config: 2 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 1195 --stagLimit 97 --mu 5 --lambda 30 --mutRate 0.649
[2026-06-09 12:27:30] 🚀 Probando Config: 3 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 1695 --stagLimit 248 --mu 15 --lambda 18 --mutRate 0.8965
[2026-06-09 12:27:30] 🚀 Probando Config: 4 | Instancia: /home/hanss/automatic-sokoban-solver/tuning/Instances/shell_577.txt | Parámetros: 2695 --stagLimit 147 --mu 8 --lambda 26 --mutRate 0.4015
