LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
1 - Games 4 Brains - 89 [likes=7, dislikes=1, completion=0.503067484662577, like_ratio=0.875, like_rate=0.0143149284253579, tedium=10.5]	SOLVED	lLLrrrRlllullDrrrrrurrdLLLLLL	8.1373	11	29	26	26	208	33	16	19	8	1.26923	1.34473	13	26	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
15 - Games 4 Brains - 90 [likes=2, dislikes=0, completion=0.641791044776119, like_ratio=1.0, like_rate=0.0074626865671641, tedium=33.6666666666667]	SOLVED	LLLLLulldddrrrrrrUruLLrddlllllluuuuurrrrrrdDldLurrrdLuuullllllddrrdLuluurrrrrrddlldLLrrurrdddlllllluUUrrdLulDrrrrurruullllllDurrrrrrdddLLLLL	14.1886	25	140	175	277	3324	518	499	380	12	1.87004	1.25227	6.66132	175	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
14 - Games 4 Brains - 91 [likes=2, dislikes=1, completion=0.622710622710623, like_ratio=0.666666666666667, like_rate=0.0073260073260073, tedium=28.6666666666667]	SOLVED	rddDlLdlddrrruUddllluuruulUUrrrddrdLdddllluuUUddddrrruuuLLulUdrdrruuulluullddRluurrdLulDrdddrddlUUUURuulldRddddrrruuuL	27.9524	22	118	470	829	9948	1464	1287	961	12	1.76598	1.35726	7.7296	470	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
3 - Games 4 Brains - 92 [likes=5, dislikes=0, completion=0.749090909090909, like_ratio=1.0, like_rate=0.0181818181818182, tedium=15.6666666666667]	SOLVED	uurrrddddddllluUluuruuUdddlddrUdddrrruuuuuullluUddrrrddddddllluuuUddddrrruuuuuullluuluRdddrrrddddddllluuuuUUUUddrrrdddLLdlUUUUU	9.93431	18	127	57	80	960	184	74	135	12	2.3	1.27564	12.973	57	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
17 - Games 4 Brains - 93 [likes=2, dislikes=0, completion=0.638392857142857, like_ratio=1.0, like_rate=0.0089285714285714, tedium=19.6666666666667]	SOLVED	ulldRdddddrrruuulLrrdddlluluUUUluRRRllddddddrrrddlllUUrrruuullluuurrdLLddrrrdddlllUUUUU	10.7925	18	87	91	125	1500	220	109	140	12	1.76	1.30766	13.7615	91	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
16 - Games 4 Brains - 94 [likes=3, dislikes=0, completion=0.697211155378486, like_ratio=1.0, like_rate=0.0119521912350598, tedium=41.6666666666667]	SOLVED	rrrddddlluLLdRRRdrUUdlllldlluuRlddrrurrrruUUdddlllldlluRRRRdrruuuuruLLrdddddllullluRdrrdrruuuuulLLLullddrUluRdrrrrrdddddlluRdrUUUddlluulDrdrruuUruLLLrrddddllulldRRdrruuuuullLLLulDrrrrrrdddddlluRdrUUUUruLLLLLruLdLruL	60.0027	51	215	1736	2928	35136	4527	3509	2394	12	1.54611	1.16942	10.0131	1736	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - Games 4 Brains - 95 [likes=7, dislikes=0, completion=0.664615384615385, like_ratio=1.0, like_rate=0.0215384615384615, tedium=23.0]	SOLVED	LLLLLulldddrrrrrrUruulldlllLulDrrrrrurrdLLLLLL	8.37295	15	46	24	24	192	39	7	22	8	1.625	1.23599	27.4286	24	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
5 - Games 4 Brains - 96 [likes=6, dislikes=2, completion=0.664634146341463, like_ratio=0.75, like_rate=0.0182926829268293, tedium=4.83333333333333]	SOLVED	uRldlDuurrRdrdDDlllllLLuUUdddrrrrrrruuululldldDldlluuuruRR	10.2043	13	58	38	55	1320	262	32	171	24	4.76364	1.36105	41.25	38	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
10 - Games 4 Brains - 97 [likes=4, dislikes=0, completion=0.636904761904762, like_ratio=1.0, like_rate=0.0119047619047619, tedium=7.66666666666667]	SOLVED	rDDlddrURRurUUruRRdrdDuulullulDLLrrrrrdrddDuuulullllldldDuururrrrrdrdddlllulldlLrruruUddldlluuururR	14.1163	19	99	144	199	4776	614	91	456	24	3.08543	1.32127	52.4835	144	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
12 - Erim Sever - 98 [likes=2, dislikes=0, completion=0.154545454545455, like_ratio=1.0, like_rate=0.009090909090909, tedium=7.33333333333333]	SOLVED	lluluururRurrDulldDuurrdDRdrUlluullddRRRlllulldlddrdrrurUdldlluluururrdRlulldRllddrRlluurrRlllddrUluRR	33.0124	18	102	556	760	27360	2344	532	1343	36	3.08421	1.44559	51.4286	556	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
