LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
25 - Marko Dzekic - 13 [likes=4, dislikes=0, completion=0.935344827586207, like_ratio=1.0, like_rate=0.0172413793103448, tedium=3.33333333333333]	SOLVED	urDDLuLulD	10.8779	6	10	11	14	168	57	14	15	12	4.07143	1.55246	12	11	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
7 - Marko Dzekic - 14 [likes=3, dislikes=0, completion=0.930747922437673, like_ratio=1.0, like_rate=0.0083102493074792, tedium=5.0]	SOLVED	dddrUUlulldRlddrUUdrruL	10.9303	7	23	15	20	240	57	28	45	12	2.85	1.53413	8.57143	15	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
49 - Marko Dzekic - 15 [likes=3, dislikes=0, completion=0.80564263322884, like_ratio=1.0, like_rate=0.0094043887147335, tedium=7.5]	SOLVED	ullDurrdLddrUdllluUddrruLdlUrUdrrU	11.2693	9	34	18	22	352	69	10	25	16	3.13636	1.4098	35.2	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
12 - Marko Dzekic - 16 [likes=3, dislikes=0, completion=0.895454545454546, like_ratio=1.0, like_rate=0.0136363636363636, tedium=5.0]	SOLVED	uLLDlddrrrUUddllUdrruLULrddlluR	8.90063	11	31	18	23	460	47	8	26	20	2.04348	1.32982	57.5	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
204 - Marko Dzekic - 17 [likes=2, dislikes=0, completion=0.874458874458874, like_ratio=1.0, like_rate=0.0086580086580086, tedium=3.75]	SOLVED	ULuurrdDlluRllD	8.89553	6	15	13	17	272	42	6	27	16	2.47059	1.60352	45.3333	13	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
39 - Marko Dzekic - 18 [likes=4, dislikes=0, completion=0.581081081081081, like_ratio=1.0, like_rate=0.018018018018018, tedium=9.5]	SOLVED	lDulldddrrrUdllluuurrdDrdLLruuullddRluurrrD	10.0127	8	43	36	53	848	123	48	99	16	2.32075	1.64261	17.6667	36	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
15 - Marko Dzekic - 19 [likes=4, dislikes=0, completion=0.862068965517241, like_ratio=1.0, like_rate=0.0172413793103448, tedium=3.25]	SOLVED	urUddllluuurrDLrrddllUU	9.5825	6	23	20	23	368	68	14	32	16	2.95652	1.68638	26.2857	20	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
22 - Marko Dzekic - 20 [likes=4, dislikes=0, completion=0.801169590643275, like_ratio=1.0, like_rate=0.0116959064327485, tedium=6.33333333333333]	SOLVED	rdLulDrrrddllUdrruuullldRdRluurD	9.28583	7	32	19	19	228	53	21	44	12	2.78947	1.52293	10.8571	19	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
20 - Marko Dzekic - 21 [likes=4, dislikes=0, completion=0.869369369369369, like_ratio=1.0, like_rate=0.018018018018018, tedium=5.33333333333333]	SOLVED	rdLLruuullddRUrrdL	8.70315	6	18	18	23	276	73	31	32	12	3.17391	1.68638	8.90323	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - Marko Dzekic - 22 [likes=4, dislikes=1, completion=0.869888475836431, like_ratio=0.8, like_rate=0.0148698884758364, tedium=6.0]	SOLVED	ulldddrrULdlUUddrrrUUdlUdlluRR	11.0046	10	30	100	147	2352	294	148	127	16	2	1.64714	15.8919	100	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
27 - Marko Dzekic - 23 [likes=3, dislikes=0, completion=0.941391941391941, like_ratio=1.0, like_rate=0.010989010989011, tedium=4.66666666666667]	SOLVED	dllUdrruuurDlddlluUddrUrurDllluR	9.51466	7	32	16	17	204	74	11	23	12	4.35294	1.49892	18.5455	16	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
10 - Marko Dzekic - 24 [likes=4, dislikes=0, completion=0.888235294117647, like_ratio=1.0, like_rate=0.0117647058823529, tedium=3.75]	SOLVED	rrrDlDurDuullldRurrddlL	10.7261	6	23	18	20	320	77	14	25	16	3.85	1.64755	22.8571	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - Thinking Rabbit - 25 [likes=5, dislikes=0, completion=0.891089108910891, like_ratio=1.0, like_rate=0.0247524752475248, tedium=15.25]	SOLVED	RRdddlluRRRdrUlluullluuurrrrrdLulllldddrrrddrrUUddlluullluuurrdLulldddrrrrddrruuUUlLrrruLdddddlluuRlllluUrurrdLrrruLdllLLruLdrrrruLdlllddrrrddrruUUdllllluurrrurrrdLLLuLrdLLruL	456.81	32	175	6969	28705	459280	59136	98777	24536	16	2.06013	1.3782	4.64967	6969	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
5 - Thinking Rabbit - 26 [likes=6, dislikes=0, completion=0.826923076923077, like_ratio=1.0, like_rate=0.0288461538461538, tedium=5.75]	SOLVED	llddlDrdrUluuulDldddRuruLuurrrdLullddrU	13.2987	8	39	213	323	5168	1062	514	817	16	3.28793	2.05897	10.0545	213	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
